State,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,ConvertedLot,MarketEstimate,Price
AL,36693,30.620256,-88.145485,3,2.0,1224,0.1541,179200,180000
AL,35904,34.023613,-86.0518,4,2.0,1295,0.1721763,95100,130000
AL,36330,31.30808,-85.871994,3,1.0,1242,0.34,133700,135000
AL,36093,32.53193,-86.11993,4,3.0,3202,3.57,360700,380000
AL,36105,32.337,-86.29974,3,2.0,1428,0.26,127500,129900
AL,35215,33.66169,-86.67905,1,1.0,741,0.0,58500,59900
AL,36079,31.705172,-85.99862,3,2.0,1920,3.0,278400,285000
AL,35124,33.338062,-86.79956,3,3.0,2517,0.88,273600,275000
AL,36303,31.256407,-85.43638,2,2.0,1773,0.65,188000,189990
AL,36110,32.40325,-86.28537,3,1.0,1050,0.16,66500,69000
AL,35405,33.141556,-87.568474,4,2.0,1791,0.29,257400,258000
AL,36544,30.467716,-88.23551,3,2.0,1505,0.8023,192200,199220
AL,36117,32.408894,-86.201035,4,2.0,1488,0.28,182400,183000
AL,35055,34.148727,-86.77304,4,2.0,1600,4.8,149200,150000
AL,36376,31.22486,-85.25838,4,2.0,1313,1313.0,62300,64900
AL,35810,34.78267,-86.58862,4,2.0,1511,0.39,179400,180000
AL,35976,34.300037,-86.39073,3,3.0,2149,0.5,139800,139900
AL,35218,33.501514,-86.89199,3,2.0,1418,0.17,130000,140000
AL,36575,30.761631,-88.292496,4,2.0,2520,0.9141,298200,299319
AL,35016,34.356606,-86.522484,3,2.0,1712,1.0,194300,195000
AL,35976,34.42224,-86.25966,2,1.0,925,0.21,146600,154990
AL,35046,32.878918,-86.56741,3,2.0,1152,2.15,169500,169900
AL,35652,34.81635,-87.262695,3,3.0,1400,0.5,182100,184900
AL,35592,33.787724,-88.165764,3,1.0,1187,4.0,76700,80000
AL,36742,32.512672,-87.71695,3,2.0,2925,6.0,393600,395000
AL,36587,30.790745,-88.30819,4,3.0,2541,2.3,298900,300000
AL,35055,34.191113,-86.81209,3,2.0,2349,0.53,253100,255000
AL,36310,31.65619,-85.10319,4,2.0,1344,0.93,117000,154900
AL,36201,33.688515,-85.862495,3,2.0,1016,0.5,159400,160000
AL,36541,30.559324,-88.4035,4,3.0,2400,2.3,392200,390410
AL,35772,34.907852,-85.76508,4,2.0,1755,0.68,238000,239900
AL,35803,34.61809,-86.54882,3,2.0,1457,0.21,247200,250000
AL,36571,30.841074,-88.08948,3,2.0,1828,0.4658,199700,198000
AL,35613,34.75443,-86.88578,4,2.0,1932,0.2,314100,314900
AL,35763,34.61488,-86.45121,3,2.0,1654,1.65,298300,299900
AL,35768,34.67045,-86.05488,3,2.0,1586,0.37,247400,249900
AL,36106,32.34567,-86.23511,4,2.0,1680,0.2761,128800,129999
AL,36611,30.762444,-88.08054,2,1.0,1316,0.1606,94900,95500
AL,35042,32.98726,-87.21477,3,2.0,1408,0.61,137400,139900
AL,35215,33.642715,-86.702225,3,3.0,1992,0.42,184200,220000
AL,36305,31.211576,-85.453156,4,2.0,2241,0.34,277900,280000
AL,36303,31.275568,-85.43938,3,1.0,1289,0.34,118900,129900
AL,35630,34.825504,-87.6715,3,2.0,1272,0.23,178800,179900
AL,36604,30.680508,-88.06529,4,3.0,3723,0.1504,729200,729000
AL,36108,32.303844,-86.34714,3,2.0,1000,0.19,106800,110000
AL,35810,34.778187,-86.605255,3,2.0,1320,0.3,204200,205000
AL,35810,34.784073,-86.58795,4,2.0,1569,0.43,224100,224900
AL,36067,32.59268,-86.69812,3,2.0,1144,6.07,146900,155000
AL,36532,30.51387,-87.90105,4,4.0,3384,0.4,511400,550000
AL,36027,31.872173,-85.21629,3,1.0,1216,0.45,138400,145000
AL,36695,30.644339,-88.25151,3,2.0,1539,0.2047,239800,240000
AL,35208,33.48694,-86.90086,4,2.0,2113,0.16,121500,124900
AL,35630,34.817142,-87.68756,3,1.0,1089,0.12,163500,164900
AL,35956,34.157356,-86.18112,5,3.0,2554,3.32,184300,199000
AL,35976,34.287952,-86.39717,5,4.0,3862,6.0,714200,775000
AL,36608,30.64717,-88.32544,3,2.0,1404,0.2502,239200,239950
AL,36322,31.31328,-85.703,3,2.0,1530,0.29,168900,169900
AL,36303,31.238642,-85.42869,4,4.0,2180,0.38,262500,264900
AL,35405,33.116016,-87.56847,4,3.0,2096,0.26,299400,299900
AL,35756,34.74326,-86.802666,3,2.0,1968,0.95,379300,379900
AL,36475,31.401741,-87.3086,3,2.0,1740,2.0,249100,250000
AL,36207,33.6485,-85.81168,4,4.0,3125,0.37,189800,197500
AL,36535,30.425716,-87.69967,3,2.0,1676,0.2,278500,279900
AL,35053,34.057236,-87.0346,3,1.0,1253,8.8,117300,118000
AL,36069,32.05632,-86.18998,3,1.0,1050,1.0,122800,125000
AL,36561,30.303347,-87.47633,6,6.0,3138,1.23,896800,900000
AL,35057,34.17419,-87.00112,3,3.0,1680,2.3,213500,310000
AL,36610,30.74002,-88.085205,2,1.0,1000,0.5,28100,30000
AL,36442,31.01055,-86.250656,4,5.0,1400,21.44,274400,275000
AL,36010,31.726835,-85.755905,4,3.0,1652,2.35,163500,170000
AL,35173,33.6051,-86.599915,3,2.0,2032,0.36,296600,295000
AL,36572,30.86227,-88.04361,3,2.0,1640,0.3253,218500,219900
AL,35810,34.80451,-86.61303,4,3.0,2800,0.4338843,179400,179900
AL,35763,34.567997,-86.44204,3,2.0,1520,0.12855831,257700,259000
AL,36607,30.689117,-88.090034,3,2.0,1689,0.2428,249200,250000
AL,35124,33.32549,-86.81488,3,3.0,1412,0.08,223900,221900
AL,36532,30.572453,-87.88975,4,3.0,3146,0.3,573200,599900
AL,35215,33.651306,-86.658325,3,2.0,2032,0.2,260700,260000
AL,35758,34.723103,-86.75427,4,3.0,2155,0.2,349400,349999
AL,35972,33.990604,-86.2719,4,2.0,2252,7.84,108700,119700
AL,36695,30.656637,-88.22562,3,2.0,1456,0.4251,215700,215255
AL,36305,31.235125,-85.48253,3,2.0,2008,0.64,245600,259900
AL,35124,33.34166,-86.80331,3,2.0,2134,0.49,295200,299900
AL,35749,34.84083,-86.6938,3,2.0,1641,0.5,295000,295000
AL,36582,30.571985,-88.13434,3,3.0,2476,1.1,444700,450000
AL,35901,33.9497,-86.00235,3,2.0,1762,0.85858583,329300,329900
AL,36575,30.762589,-88.285416,4,3.0,1856,0.4867,268000,259000
AL,35555,31.572191,-87.93222,2,1.0,1496,20.0,174100,176900
AL,35406,33.227802,-87.53599,2,3.0,1152,0.0,174600,175000
AL,36587,30.852259,-88.340706,4,3.0,2528,1.82,385400,399000
AL,35620,34.924484,-87.122505,3,1.0,1297,2.57,255300,255000
AL,36272,33.921463,-85.579666,3,3.0,2180,3.27,259000,259900
AL,35204,33.506744,-86.84448,3,2.0,1637,0.18,124700,125900
AL,36695,30.635262,-88.27472,3,3.0,1825,1.0,240400,239900
AL,35007,33.217987,-86.84071,5,3.0,2562,0.23,350100,415000
AL,36608,30.674248,-88.2641,3,2.0,1467,0.2279,224600,225000
AL,36301,31.225897,-85.42912,3,2.0,2130,0.200875,319100,319900
AL,36530,30.371277,-87.61959,3,3.0,3221,0.467,528300,550000
AL,36608,30.672604,-88.271255,3,2.0,1134,0.2757,176200,182000
AL,35811,34.770145,-86.46088,3,2.0,1468,0.4338843,259600,259900
AL,35672,34.58403,-87.41709,3,2.0,1370,6.6,180300,179900
AL,35803,34.59971,-86.56846,4,3.0,2304,0.24104683,390600,390000
AL,36109,32.371906,-86.23705,3,2.0,2296,0.29,196500,200000
AL,36695,30.627316,-88.32781,3,2.0,1454,1.0188,116100,115000
AL,35979,34.82562,-85.62668,2,2.0,1043,6.0,118000,120000
AL,35622,34.321056,-86.8095,3,2.0,1190,1.2,101300,99900
AL,36117,32.406235,-86.1868,3,2.0,1428,0.33,188400,190000
AL,35959,34.2582,-85.6109,3,3.0,3000,12.0,432600,435000
AL,35073,33.636436,-86.916176,3,2.0,1200,0.48,118200,120000
AL,36301,31.10578,-85.45025,3,2.0,1936,1.195,161600,170000
AL,36303,31.276136,-85.33994,3,1.0,1025,0.19,129300,130000
AL,36106,32.349503,-86.22742,3,3.0,1762,0.13,188700,192000
AL,35756,34.689842,-86.7954,3,2.0,1588,0.20890726,279200,280000
AL,36117,32.32594,-86.1521,3,2.0,1739,0.22,259500,259900
AL,36535,30.330416,-87.705025,3,2.0,1400,0.541,224700,235000
